FirstName,ResourceName,Practicelead,Practice,MentorName,Releasedfrom,Availablefrom,Projectbenchreleasedate,Aging,Qualification,Coe,Skills,Yearsofexp,Doj,Email,Phone,Gender,Status,Profile,Location,DateCreated,DateUpdated
-,akww,-,-,-,-,-,-,-,-,-,-,-,-,akshay3423@gmail.com,-,Male,Active,image-1695279108347.exam.jpg,sfs,Thu Sep 21 2023 12:21:48 GMT+0530 (India Standard Time),-
jbhjsdfh,jkdhfsdhf,-,-,-,-,-,-,-,-,-,-,-,-,ak43242323@gmail.com,9898765645,Female,Active,image-1695281938579.exam.jpg,dfsdf,Thu Sep 21 2023 01:08:58 GMT+0530 (India Standard Time),-
wuhuiebfw,bubiu,uibuib,-,-,-,-,-,-,-,-,-,-,-,a23@gmail.com,2323453267,Male,Active,image-1695292556490.exam.jpg,kkhk,Thu Sep 21 2023 04:05:56 GMT+0530 (India Standard Time),-
a,k,sh,ay,-,-,-,-,-,-,-,-,-,-,akwdef3@gmail.comq,3245237623,Male,Active,image-1695292944162.Untitled232.jpg,edwedew,Thu Sep 21 2023 04:12:24 GMT+0530 (India Standard Time),-
ak,ku,we,kj,akshay,-,-,-,-,-,-,-,-,-,ak91323@gmail.com,2398764532,Male,Active,image-1695293646433.Untitled232.jpg,ewfew,Thu Sep 21 2023 04:24:06 GMT+0530 (India Standard Time),-
ak`,ouou,bmjbj,kjlkl,dfer,akk,-,-,-,-,-,-,-,-,aksha3221y@gmail.com,2343125467,Male,Active,image-1695293969031.Untitled 1.jpg,kji,Thu Sep 21 2023 04:29:29 GMT+0530 (India Standard Time),-
jhj,jhj,hjh,hjhj,hjhj,jhj,-,-,-,-,-,-,-,-,akshqwd23@gmail.com,2323433212,Male,Active,image-1695295386112.Untitled 1.jpg,aa,Thu Sep 21 2023 04:53:06 GMT+0530 (India Standard Time),-
jhjh,iuiu,jhjh,iuiou,iuiu,iuiu,hkhk,-,-,-,-,-,-,-,akswew2223@gmail.com,1232125434,Male,Active,image-1695295774627.Untitled 1.jpg,dfwsd,Thu Sep 21 2023 04:59:34 GMT+0530 (India Standard Time),-
aksj,ijiu,iij,jbj,an,kjk,kjk,-,-,-,-,-,-,-,akshwdsadaay@gmail.com,2323122343,Male,Active,image-1695370007015.Untitled 1.jpg,dsfsf,Fri Sep 22 2023 01:36:47 GMT+0530 (India Standard Time),-
aks,uiu,uiu,iu,iu,ui,ui,ui,-,-,-,-,-,-,ahadssdy23@gmail.com,2323124567,Male,Active,image-1695373845157.Untitled 1.jpg,dwf,Fri Sep 22 2023 02:40:45 GMT+0530 (India Standard Time),-
kum,khk,khk,khk,hk,hkh,kh,kh,kh,-,-,-,-,-,khkdfsdfd`weh@gmail.com,1232246946,Male,Active,image-1695374188919.Untitled 1.jpg,jhjh,Fri Sep 22 2023 02:46:29 GMT+0530 (India Standard Time),-
aks,hjghjhj,jhgh,jgjh,gjgh,jh,jhj,hjh,jhj,jhj,-,-,-,-,aha232y23@gmail.com,3232124567,Male,Active,image-1695374460801.exam.jpg,efw,Fri Sep 22 2023 02:51:01 GMT+0530 (India Standard Time),-
kumar,iui,uiiu,iuiu,iui,iui,iui,iui,iuiu,iui,iui,iui,iui,iui,akskumar23@gmail.com,3232456715,Male,Active,image-1695375285859.Untitled232.jpg,ewfwf,Fri Sep 22 2023 03:04:46 GMT+0530 (India Standard Time),-
akshay,kumar,kjhnk,knk,kk,kni,ni,15 jan,5 years,jbj,jbj,bjb,jbj,bjbj,akshqfpksapmay@gmail.com,3232323232,Male,Active,image-1695376212452.exam.jpg,dfgved,Fri Sep 22 2023 03:20:12 GMT+0530 (India Standard Time),-
